,Dispay_inch,Hard_disk,Name,Operating_system,Price,Processor,RAM
260,NVIDIA Geforce GTX 1050Ti for Desktop Level Performance,Upgradable SSD Upto 512 GB and RAM Upto 32 GB,Acer Predator Helios 300 Core i5 7th Gen ,128 GB SSD for Reduced Boot Up Time and in Game Loading,"₹1,29,999","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Dual Fan Cooling with Metal AeroBlade 3D
261,500 GB HDD,64 bit Windows 10 Operating System,Lenovo Ideapad 110 APU Quad Core A6 6th Gen ,4 GB DDR3 RAM,"₹22,900","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",AMD APU Quad Core A6 Processor (6th Gen)
262,1 TB HDD|256 GB SSD,64 bit Windows 10 Operating System,Asus ROG Core i7 7th Gen ,8 GB DDR4 RAM,"₹1,46,490","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i7 Processor (7th Gen)
263,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
264,1 TB HDD,64 bit Windows 10 Operating System,Lenovo Core i5 7th Gen ,8 GB DDR4 RAM,"₹66,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i5 Processor (7th Gen)
265,35.56 cm (14 inch) Touchscreen Display,256 GB SSD,HP Pavilion x360 Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹50,990",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
266,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 series Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹50,990",Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM
267,33.78 cm (13.3 inch) Touchscreen Display,256 GB SSD,HP Spectre x360 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹1,51,133",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
268,1 TB HDD,64 bit Windows 10 Operating System,Lenovo Ideapad 500 Core i5 6th Gen ,4 GB DDR3 RAM,"₹50,495","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i5 Processor (6th Gen)
269,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
270,35.56 cm (14 inch) Touchscreen Display,256 GB SSD,HP 400 Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹66,305",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
271,39.62 cm (15.6 inch) Touchscreen Display,1 TB HDD,Dell 5000 Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹72,000",Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM
272,39.62 cm (15.6 inch) Display,2 TB HDD|128 GB SSD,Dell Inspiron 15 5000 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹81,989",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
273,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
274,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,Acer Predator Helios 300 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹99,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
275,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Dell Inspiron 5000 Core i7 7th Gen ,Intel Core i7 Processor (7th Gen),"₹82,990",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
276,1 TB HDD,64 bit Windows 10 Operating System,Dell Core i5 6th Gen ,4 GB DDR3 RAM,"₹59,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i5 Processor (6th Gen)
277,35.56 cm (14 inch) Display,500 GB HDD|512 GB SSD,AGB Orion Core i7 7th Gen ,64 bit Windows 10 Operating System,"₹62,799",Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM
278,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Dell Inspiron 13 5000 Core i5 8th Gen ,Intel Core i5 Processor (8th Gen),"₹68,990",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
279,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
280,33.78 cm (13.3 inch) Display,512 GB SSD,Asus ZenBook 13 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹84,990",Intel Core i7 Processor (8th Gen),8 GB DDR3 RAM
281,33.78 cm (13.3 inch) Display,500 GB HDD,Apple Macbook Pro Core i5 ,Mac OS Operating System,"₹89,949",Intel Core i5 Processor,4 GB DDR3 RAM
282,64 bit Windows 10 Operating System,16 GB DDR4 RAM,Lenovo Ideapad 520 Core i7 7th Gen ,Intel Core i7 Processor (7th Gen),"₹88,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Preloaded Microsoft Office Home & Student 2016
283,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
284,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,Lenovo Legion Y530 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹86,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
285,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,Asus TUF Gaming Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹67,690",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
286,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,HP Pavilion Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹94,543",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
287,2 TB HDD,64 bit Windows 10 Operating System,Lenovo Core i5 7th Gen ,8 GB DDR4 RAM,"₹75,500","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i5 Processor (7th Gen)
288,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15q Core i5 8th Gen ,DOS Operating System,"₹49,440",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
289,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
290,1 TB HDD,64 bit Windows 10 Operating System,Lenovo Ideapad 320 Core i3 6th Gen ,4 GB DDR4 RAM,"₹30,553",Latest Laptop without Optical Disk Drive,Intel Core i3 Processor (6th Gen)
291,35.56 cm (14 inch) Display,1 TB HDD|128 GB SSD,AGB Orion Core i7 7th Gen ,64 bit Windows 10 Operating System,"₹61,999",Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM
292,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Dell Inspiron 15 7000 Core i5 8th Gen ,Intel Core i5 Processor (8th Gen),"₹83,990",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
293,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
294,39.62 cm (15.6 inch) Display,2 TB HDD,Dell Inspiron 15 5000 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹67,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
295,1 TB HDD,64 bit Windows 10 Operating System,Acer Aspire Core i3 6th Gen ,4 GB DDR4 RAM,"₹43,490","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i3 Processor (6th Gen)
296,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330 Core i3 7th Gen ,DOS Operating System,"₹32,999",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
297,33.78 cm (13.3 inch) Display,256 GB SSD,Asus ZenBook 13 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹69,990",Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM
298,Intel Core i5 Processor (7th Gen),2 x Harman Speakers with Dolby Audio Premium for Best Audio Experience,Lenovo Legion Core i5 7th Gen ,128 GB SSD for Reduced Boot Up Time and in Game Loading,"₹86,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",NVIDIA GeForce GTX 1050Ti for Desktop Level Performance
299,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
300,34.29 cm (13.5 inch) Touchscreen Display,512 GB SSD,Microsoft Surface Core i7 7th Gen ,64 bit Windows 10 Operating System,"₹1,46,900",Intel Core i7 Processor (7th Gen),16 GB DDR3 RAM
301,35.56 cm (14 inch) Display,1 TB HDD,HP 240 G5 Series Core i3 6th Gen ,32 bit DOS Operating System,"₹29,000",Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM
302,39.62 cm (15.6 inch) Display,1 TB HDD,HP Pavilion Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹71,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
303,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
304,39.62 cm (15.6 inch) Display,1 TB HDD,Asus F560UD Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹61,500",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
305,38.1 cm (15 inch) Touchscreen Display,256 GB SSD,Microsoft Surface Book 2 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹2,01,000",Intel Core i7 Processor (8th Gen),16 GB DDR3 RAM
306,35.56 cm (14 inch) Touchscreen Display,256 GB SSD,HP Pavilion x360 Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹47,390",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
307,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo IP330 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹30,490",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
308,64 bit Windows 10 Operating System,8 GB RAM,Dell 5000 Core i5 6th Gen ,Intel Core i5 Processor (6th Gen),"₹71,950",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
309,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
310,39.62 cm (15.6 inch) Display,1 TB HDD,Asus X507UA Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹26,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
311,64 bit Windows 10 Operating System,4 GB RAM,Dell 5000 Core i3 6th Gen ,Intel Core i3 Processor (6th Gen),"₹56,990",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
312,39.62 cm (15.6 inch) Display,1 TB HDD,Asus Vivobook Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹47,890",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
313,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
314,33.78 cm (13.3 inch) Display,128 GB SSD,HP Envy 13 Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹56,990",Intel Core i3 Processor (8th Gen),4 GB DDR3 RAM
315,39.62 cm (15.6 inch) Display,1 TB HDD,Dell Inspiron 15 5000 Series Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹41,300",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
316,39.62 cm (15.6 inch) Display,1 TB HDD,Dell Inspiron 15 3000 APU Dual Core A6 7th Gen ,64 bit Windows 10 Operating System,"₹25,374",AMD APU Dual Core A6 Processor (7th Gen),4 GB DDR4 RAM
317,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹29,444",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
318,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo 330 Pentium Quad Core 8th Gen ,64 bit Windows 10 Operating System,"₹25,990",Intel Pentium Quad Core Processor (8th Gen),4 GB DDR4 RAM
319,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
320,39.62 cm (15.6 inch) Display,1 TB HDD,HP Pavilion 15,64 bit Windows 10 Operating System,"₹60,199",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
321,33.78 cm (13.3 inch) Display,256 GB SSD,Asus ZenBook 13 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹62,990",Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM
322,35.56 cm (14 inch) Touchscreen Display,1 TB HDD|8 GB SSD,HP Pavilion x360 Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹51,990",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
323,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
324,33.78 cm (13.3 inch) Display,512 GB SSD,Dell Inspiron 13 7000 Series Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹85,490",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
325,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,Dell Inspiron 15 7000 Series Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹81,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
326,31.24 cm (12.3 inch) Touchscreen Display,128 GB SSD,Microsoft Surface Pro 6 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹77,500",Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM
327,33.78 cm (13.3 inch) Display,512 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹73,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
328,39.62 cm (15.6 inch) Display,1 TB HDD,Dell Inspiron 15 3000 Core i3 6th Gen ,64 bit Windows 10 Operating System,"₹33,990",Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM
329,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
330,33.78 cm (13.3 inch) Display,512 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹73,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
331,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,Dell Inspiron 15 7000 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹89,000",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
332,64 bit Windows 10 Operating System,8 GB DDR3 RAM,Dell Inspiron 7000 Core i5 6th Gen ,Intel Core i5 Processor (6th Gen),"₹88,768",Pre Loaded MS Office Home & Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
333,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
334,33.78 cm (13.3 inch) Touchscreen Display,256 GB SSD,Dell Inspiron 13 7000 Series Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹91,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
335,128 GB SSD,64 bit Windows 10 Operating System,Microsoft Surface Pro Core i5 7th Gen ,4 GB DDR3 RAM,"₹79,999","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i5 Processor (7th Gen)
336,33.78 cm (13.3 inch) Display,256 GB SSD,Acer Swift 7 Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹72,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
337,39.62 cm (15.6 inch) Display,512 GB SSD,Asus ROG Strix G Core i7 9th Gen ,64 bit Windows 10 Operating System,"₹89,990",Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM
338,30.99 cm (12.2 inch) Touchscreen Display,128 GB SSD,Smartron t.book flex Core m3 7th Gen ,64 bit Windows 10 Operating System,"₹42,490",Intel Core m3 Processor (7th Gen),4 GB DDR3 RAM
339,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
340,39.62 cm (15.6 inch) Display,1 TB HDD,Acer Aspire 3 Ryzen 5 Quad Core ,64 bit Windows 10 Operating System,"₹28,990",AMD Ryzen 5 Quad Core Processor,4 GB DDR4 RAM
341,33.78 cm (13.3 inch) Display,256 GB SSD,Apple Macbook Pro Core i5 8th Gen ,64 bit Mac OS Operating System,"₹1,39,990",Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM
342,39.62 cm (15.6 inch) Display,1 TB SSD,Asus ROG Strix G Core i7 9th Gen ,64 bit Windows 10 Operating System,"₹99,990",Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM
343,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
344,1 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase,35.56 cm (14 inch) Display,iBall CompBook Pentium Quad Core ,64 bit Windows 10 Operating System,"₹12,990",Intel Pentium Quad Core Processor,4 GB DDR3 RAM
345,AMD APU Dual Core A9 Processor,No Vibrations or Noise,HP 14q APU Dual Core A9 ,More Energy Efficient,"₹22,990",Fast Performance (Upto 30% Faster than HDD Storage),Upto 75% Reduction in System Boot Up Time
346,35.56 cm (14 inch) Touchscreen Display,256 GB SSD,HP Pavilion x360 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹59,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
347,30.99 cm (12.2 inch) Touchscreen Display,128 GB SSD,Smartron t.book flex Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹52,990",Intel Core i5 Processor (7th Gen),4 GB DDR3 RAM
348,30.99 cm (12.2 inch) Touchscreen Display,128 GB SSD,Smartron t.book flex Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹52,990",Intel Core i5 Processor (7th Gen),4 GB DDR3 RAM
349,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
350,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹35,900",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
351,33.78 cm (13.3 inch) Display,512 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹65,490",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
352,1 Year,29.46 cm (11.6 inch) Display,iBall Compbook,32 bit Windows 10 Operating System,"₹8,990",Intel Atom Processor,2 GB DDR3 RAM
353,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹28,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
354,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
355,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹54,590",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
356,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹39,499",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
357,39.62 cm (15.6 inch) Display,1 TB HDD,Acer Aspire 3 Pentium Gold ,64 bit Windows 10 Operating System,"₹29,999",Intel Pentium Gold Processor,4 GB DDR4 RAM
358,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
359,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Core i5 8th Gen ,DOS Operating System,"₹41,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
360,35.56 cm (14 inch) Display,1 TB HDD,HP 14s Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹34,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
361,39.62 cm (15.6 inch) Display,1 TB HDD,Dell Vostro 15 3000 Core i3 7th Gen ,Linux/Ubuntu Operating System,"₹29,500",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
362,39.62 cm (15.6 inch) Display,1 TB HDD,Acer Aspire 3 Ryzen 5 Quad Core ,64 bit Windows 10 Operating System,"₹34,990",AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM
363,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
364,39.62 cm (15.6 inch) Display,1 TB HDD,Asus X507UF Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹48,000",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
365,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330 APU Dual Core A6 7th Gen ,64 bit Windows 10 Operating System,"₹22,840",Intel APU Dual Core A6 Processor (7th Gen),4 GB DDR4 RAM
366,39.62 cm (15.6 inch) Display,1 TB HDD,Acer Aspire 5 Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹30,990",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
367,39.62 cm (15.6 inch) Display,1 TB HDD,Acer Aspire 5 Core i5 8th Gen ,Linux/Ubuntu Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
368,1 TB HDD,64 bit Windows 10 Operating System,Asus Core i3 6th Gen ,6 GB DDR4 RAM,"₹29,990",HD LCD Anti-glare Display,Intel Core i3 Processor (6th Gen)
369,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
370,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Dell Inspiron 15 5000 Core i5 8th Gen ,Intel Core i5 Processor (8th Gen),"₹59,990",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
371,35.81 cm (14.1 inch) Display,500 GB HDD,RDP ThinBook Atom Quad Core 8th Gen ,32 bit Windows 10 Operating System,"₹15,499",Intel Atom Quad Core Processor (8th Gen),2 GB DDR3 RAM
372,1 Year onsite warranty across India. The power adapter which comes along with ThinBook has 90 days warranty.,29.46 cm (11.6 inch) Display,RDP ThinBook Atom Quad Core ,64 bit Windows 10 Operating System,"₹12,999",Intel Atom Quad Core Processor,4 GB DDR3 RAM
373,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
374,39.62 cm (15.6 inch) Display,1 TB HDD,Asus Vivobook Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹48,970",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
375,29.46 cm (11.6 inch) Display,500 GB HDD,Asus Vivobook Celeron Dual Core 8th Gen ,64 bit Windows 10 Operating System,"₹19,490",Intel Celeron Dual Core Processor (8th Gen),2 GB DDR4 RAM
376,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
377,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 Core i3 7th Gen ,DOS Operating System,"₹37,999",Intel Core i3 Processor (7th Gen),8 GB DDR4 RAM
378,39.62 cm (15.6 inch) Display,1 TB HDD,Acer Swift 3 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹55,650",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
379,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
380,39.62 cm (15.6 inch) Display,1 TB HDD,HP Pavilion Core i5 9th Gen ,64 bit Windows 10 Operating System,"₹58,990",Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM
381,1 TB HDD,64 bit Windows 10 Operating System,HP APU Quad Core A8 6th Gen ,4 GB DDR3 RAM,"₹32,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",AMD APU Quad Core A8 Processor (6th Gen)
382,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹54,590",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
383,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
384,39.62 cm (15.6 inch) Display,1 TB HDD,Acer E5,64 bit Windows 10 Operating System,"₹29,900",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
385,33.78 cm (13.3 inch) Display,512 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹73,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
386,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330 Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹42,000",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
387,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹75,990",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
